sequenceId,itemPosition,Whale,Rhythm,Tempo,Ornamentation,Synchrony,Duration,TsToAbs,Token,Rubato
207,7,3,1,0,0,0,0.1799712,10.983500000000276,b1.?,?
207,8,3,1,0,0,1,0.1261888,11.163471200000458,b1.\,\
207,9,2,5,2,0,1,0.799728,15.403700000000754,f3.=,=
207,10,3,6,0,0,1,0.3140842,16.084500000000844,g1.?,?
207,11,2,3,0,1,0,0.2499874,21.129300000000512,d1*?,?
207,12,2,6,0,0,0,0.3120062,26.598400000000765,g1.?,?
207,13,2,6,0,0,1,0.3175883,31.052200000000084,g1.=,=
207,14,3,5,2,0,1,0.7996631,31.91680000000088,f3.?,?
207,15,2,6,0,0,1,0.3017231,36.22620000000006,g1.=,=
207,16,3,5,2,0,1,0.7691353999999999,36.35600000000068,f3.\,\
207,17,2,1,0,0,1,0.1750519999999999,40.54240000000027,b1.?,?
207,18,3,1,1,0,1,0.4500043,40.62740000000031,b2.?,?
207,19,2,0,0,0,1,0.1257212,40.71745199999987,a1.?,?
207,20,3,0,0,0,1,0.2881319,41.077404300000126,a1.?,?
207,21,2,5,2,0,0,0.7950629,47.77820000000065,f3.?,?
207,22,2,5,2,0,1,0.7763741,55.8746000000001,f3.=,=
207,23,3,6,0,0,1,0.3069343,57.00350000000071,g1.?,?
207,24,2,5,2,0,1,0.7377668000000001,61.05380000000059,f3.\,\
207,25,3,6,0,0,1,0.3072823,61.33980000000065,g1.=,=
207,26,2,5,2,0,1,0.7240628,65.38620000000083,f3.=,=
207,27,3,5,2,0,1,0.7301393,65.50930000000062,f3.?,?
207,28,2,5,2,0,1,0.7545906,70.22700000000077,f3./,/
207,29,3,5,2,0,1,0.7371004999999999,70.32290000000012,f3.=,=
207,30,2,1,1,0,0,0.4630595,74.33760000000075,b2.?,?
207,31,2,0,0,0,0,0.3007071999999999,74.80065950000062,a1.?,?
207,32,2,5,2,0,0,0.8556858,81.29430000000048,f3.?,?
208,0,2,5,4,0,0,1.5910575999999998,0.0,f5.?,?
208,1,2,5,4,0,0,1.6027520000000002,4.223599999999351,f5.=,=
